isobutyramide	CHEMBL352219
amlodipine	CHEMBL1491
lovastatin	CHEMBL503
mepacrine	CHEMBL7568
CFM-2	CHEMBL279218
flucloxacillin	CHEMBL222645
isoflupredone-acetate	CHEMBL1608183
esaprazole	CHEMBL1983100
cefepime	CHEMBL186
dexfosfoserine	CHEMBL284377
loxoprofen	CHEMBL19299
perospirone	CHEMBL1472975
acedapsone	CHEMBL154166
VTP-27999	CHEMBL1276678
sangivamycin	CHEMBL101892
entacapone	CHEMBL953
clofazimine	CHEMBL1292
levocarnitine	CHEMBL1149
cephalothin	CHEMBL617
selenomethionine	CHEMBL113178
UCL-2077	CHEMBL1441661
RS-67333	CHEMBL85251
ETP-46464	CHEMBL3334621
bavisant	CHEMBL2103862
cyproterone-acetate	CHEMBL139835
lanoconazole	CHEMBL1555126
thiamet-g	CHEMBL1213603
penfluridol	CHEMBL47050
VU0364439	CHEMBL1223381
indoximod	CHEMBL571209
tetraethylenepentamine	CHEMBL138297
PGL5001	CHEMBL3545213
tiletamine	CHEMBL2110703
alcuronium	CHEMBL3305985
alcuronium	CHEMBL1180293
reparixin	CHEMBL191413
latrepirdine	CHEMBL589390
serotonin	CHEMBL39
tasimelteon	CHEMBL2103822
brexpiprazole	CHEMBL2105760
levomequitazine	CHEMBL3186077
carfilzomib	CHEMBL451887
danazol	CHEMBL1479
MRS-1220	CHEMBL88147
molsidomine	CHEMBL1256353
molsidomine	CHEMBL1329455
PCI-34051	CHEMBL2170177
ZLN005	CHEMBL4303368
flurothyl	CHEMBL477874
capsazepine	CHEMBL391997
ursodeoxycholyltaurine	CHEMBL272427
indocyanine-green	CHEMBL1201304
indocyanine-green	CHEMBL1615807
anandamide	CHEMBL15848
PRT062070	CHEMBL4116008
besifloxacin	CHEMBL1201760
butaclamol	CHEMBL8514
denatonium-benzoate	CHEMBL1371493
GW-842166	CHEMBL225411
famciclovir	CHEMBL880
retigabine	CHEMBL41355
PD-128907	CHEMBL94015
PD-128907	CHEMBL1626274
MPEP	CHEMBL66654
decitabine	CHEMBL1201129
lansoprazole	CHEMBL480
zamifenacin	CHEMBL27507
ocinaplon	CHEMBL2105199
PD-198306	CHEMBL1474985
AZD6482	CHEMBL2165191
dioscin	CHEMBL507001
ergocalciferol	CHEMBL1536
azelastine	CHEMBL639
amthamine	CHEMBL293762
BAX-channel-blocker	CHEMBL1402326
tetrahydrozoline	CHEMBL1266
sorbitol	CHEMBL1682
AMG319	CHEMBL3545048
zimelidine	CHEMBL37744
adiporon	CHEMBL3393145
avobenzone	CHEMBL1200522
KU14R	CHEMBL4303281
ebastine	CHEMBL305660
cibenzoline	CHEMBL87045
efavirenz	CHEMBL223228
allopurinol	CHEMBL1467
benzyldimethylhexadecylammonium	CHEMBL1624075
DCPIB	CHEMBL152557
PF-06463922	CHEMBL3286830
cefmenoxime	CHEMBL1201224
doxylamine	CHEMBL1004
LX1031	CHEMBL4303338
monostearin	CHEMBL255696
ifosfamide	CHEMBL1024
EMD-386088	CHEMBL364005
amikacin	CHEMBL177
nialamide	CHEMBL1256841
valrocemide	CHEMBL471638
finasteride	CHEMBL710
dacomitinib	CHEMBL2110732
benzthiazide	CHEMBL1201039
chloroxoquinoline	CHEMBL1409793
eprodisate	CHEMBL2111092
fomepizole	CHEMBL1308
NVP-ADW742	CHEMBL1988370
NVP-ADW742	CHEMBL399021
nifenalol	CHEMBL127349
metacresol	CHEMBL298312
ciclopirox	CHEMBL1413
RAF265	CHEMBL558752
MM-102	CHEMBL3883592
degarelix	CHEMBL415606
cresopirine	CHEMBL1234172
GSK461364	CHEMBL1908394
azasetron	CHEMBL1598608
mephentermine	CHEMBL1201234
sonidegib	CHEMBL2105737
harringtonine	CHEMBL433257
guvacine	CHEMBL76768
MK-5108	CHEMBL3182444
GW-405833	CHEMBL73711
ASP3026	CHEMBL3545360
fosaprepitant-dimeglumine	CHEMBL1201782
EIT-hydrobromide	CHEMBL1255945
AV-412	CHEMBL3545002
AV-412	CHEMBL2138625
mesulergine	CHEMBL12314
etodolac	CHEMBL622
icariin	CHEMBL553204
genistein	CHEMBL44
INT-747	CHEMBL566315
tandospirone	CHEMBL274047
tafamidis-meglumine	CHEMBL2105675
NSI-189	CHEMBL4302505
FR-122047	CHEMBL275809
fenspiride	CHEMBL576127
NMS-E973	CHEMBL2443044
methimazole	CHEMBL1515
cyacetacide	CHEMBL2106008
gabapentin	CHEMBL940
nandrolone	CHEMBL757
SCH-58261	CHEMBL17127
ceftibuten	CHEMBL1605
PF-477736	CHEMBL3545137
masoprocol	CHEMBL313972
L-Theanine	CHEMBL3039113
lofemizole	CHEMBL2111114
clinafloxacin	CHEMBL278255
dofetilide	CHEMBL473
ICI-162846	CHEMBL1593717
linezolid	CHEMBL126
mebicar	CHEMBL3707390
FG-7142	CHEMBL1256141
FG-7142	CHEMBL429711
perindopril	CHEMBL1581
ibutamoren	CHEMBL13817
peficitinib	CHEMBL3137308
pemirolast	CHEMBL1201198
alosetron	CHEMBL1110
oxolinic-acid	CHEMBL416755
rolipram	CHEMBL63
valethamate	CHEMBL2111176
proxyphylline	CHEMBL37390
5-HMF	CHEMBL185885
methoxyphenamine	CHEMBL2010507
radafaxine	CHEMBL1172928
pantoprazole	CHEMBL1502
apoptosis-activator-II	CHEMBL375126
RG108	CHEMBL1564869
ML347	CHEMBL502351
lobenzarit	CHEMBL1986706
sucrose-octaacetate	CHEMBL2105790
cetylpyridinium	CHEMBL305906
halobetasol-propionate	CHEMBL1200908
SB-269970	CHEMBL282199
plovamer-acetate	CHEMBL2108712
daphnetin	CHEMBL244948
efatutazone	CHEMBL3545280
diosmetin	CHEMBL90568
tracazolate	CHEMBL84567
ibutilide	CHEMBL533
torasemide	CHEMBL1148
cabergoline	CHEMBL1201087
levobunolol	CHEMBL1201237
homoharringtonine	CHEMBL46286
palosuran	CHEMBL567303
felbamate	CHEMBL1094
PTC-209	CHEMBL468984
todralazine	CHEMBL1079787
tucatinib	CHEMBL3989868
preladenant	CHEMBL240624
clorprenaline	CHEMBL1902627
U-0521	CHEMBL353187
nateglinide	CHEMBL783
pilsicainide	CHEMBL163238
quinagolide	CHEMBL290962
quinagolide	CHEMBL2218861
oxandrolone	CHEMBL1200436
amprolium	CHEMBL1179735
BD-1063	CHEMBL73824
pyrazinamide	CHEMBL614
idasanutlin	CHEMBL2402737
ethyl-paraben	CHEMBL15841
demecarium	CHEMBL1201229
sulfanilamide	CHEMBL21
repaglinide	CHEMBL1272
genipin	CHEMBL459016
diphenylpyraline	CHEMBL1492
chlormidazole	CHEMBL152649
PIK-293	CHEMBL3182327
dehydrocorydaline	CHEMBL1917176
tazarotene	CHEMBL1657
gestodene	CHEMBL1213583
crenolanib	CHEMBL2105728
ENMD-2076	CHEMBL482968
4-methylgenistein	CHEMBL131921
lisinopril	CHEMBL1237
cortodoxone	CHEMBL253144
naltrexone	CHEMBL19019
NVP-AUY922	CHEMBL252164
PF-04937319	CHEMBL2165615
pafuramidine	CHEMBL319669
BW-180C	CHEMBL340032
benzethonium	CHEMBL1182210
famotidine	CHEMBL902
palomid-529	CHEMBL2141712
succinylsulfathiazole	CHEMBL1484857
arbutin	CHEMBL232202
troglitazone	CHEMBL408
hydroxychloroquine	CHEMBL1535
BVT-948	CHEMBL580421
U-99194	CHEMBL16410
puerarin	CHEMBL486386
CCT018159	CHEMBL399530
AZD3514	CHEMBL2346976
GSK256066	CHEMBL570015
2,6-dimethylpiperidine	CHEMBL2104431
oprozomib	CHEMBL2103884
darusentan	CHEMBL23261
doxazosin	CHEMBL707
HA-1004	CHEMBL143054
cinnarazine	CHEMBL1370236
barbital	CHEMBL444
fudosteine	CHEMBL1555183
bosutinib	CHEMBL288441
SGC-0946	CHEMBL3087498
AGI-6780	CHEMBL3392845
safingol	CHEMBL1442934
nornicotine	CHEMBL1132
honokiol	CHEMBL16901
xamoterol	CHEMBL75753
rivastigmine	CHEMBL636
SC-9	CHEMBL1552551
bunazosin	CHEMBL188185
glycopyrrolate	CHEMBL1201027
rimantadine	CHEMBL959
vinpocetine	CHEMBL71752
enoximone	CHEMBL249856
trimethoprim	CHEMBL22
clevudine	CHEMBL458875
safinamide	CHEMBL396778
cromakalim	CHEMBL49035
Y-39983	CHEMBL571948
protionamide	CHEMBL1378024
empagliflozin	CHEMBL2107830
triflupromazine	CHEMBL570
tranylcypromine	CHEMBL3989843
tranylcypromine	CHEMBL313833
5-BDBD	CHEMBL2180179
polidocanol	CHEMBL1231723
A740003	CHEMBL255787
BU-239	CHEMBL1368511
oxazepam	CHEMBL568
olanzapine	CHEMBL715
lactulose	CHEMBL296306
PFI-1	CHEMBL2179387
ozanimod	CHEMBL3707247
mepiroxol	CHEMBL1985503
valdecoxib	CHEMBL865
ZM-306416	CHEMBL150315
perphenazine	CHEMBL567
RKI-1447	CHEMBL3218011
bethanechol	CHEMBL1482
hydrocortisone-acetate	CHEMBL1091
aloe-emodin	CHEMBL40275
etafenone	CHEMBL1736151
loratadine	CHEMBL998
spironolactone	CHEMBL1393
butoconazole	CHEMBL1295
pantothenic-acid	CHEMBL1594
saracatinib	CHEMBL217092
desoxycortone	CHEMBL1200542
F-11440	CHEMBL2104230
chenodeoxycholic-acid	CHEMBL240597
exherin	CHEMBL3818130
CPI-1189	CHEMBL4297369
uprosertib	CHEMBL3137336
oxiperomide	CHEMBL2059304
M-344	CHEMBL140000
JZL-184	CHEMBL576786
NMS-1286937	CHEMBL1094408
PCI-24781	CHEMBL2103863
letrozole	CHEMBL1444
indomethacin	CHEMBL6
chlorprothixene	CHEMBL908
YM022	CHEMBL115121
Org-12962	CHEMBL506999
nadifloxacin	CHEMBL363449
mitomycin-c	CHEMBL105
phosphatidylcholine	CHEMBL503481
SM-108	CHEMBL4303691
RU-28318	CHEMBL2107003
colfosceril-palmitate	CHEMBL1200737
sivelestat	CHEMBL76688
CP-724714	CHEMBL483321
aminoglutethimide	CHEMBL488
DIPT	CHEMBL4303330
evodiamine	CHEMBL486598
SRT2104	CHEMBL4297436
IMREG-1	CHEMBL191422
PSI-7976	CHEMBL1259058
valnemulin	CHEMBL1688852
ABT-239	CHEMBL351231
raclopride	CHEMBL8809
metaproterenol	CHEMBL776
torcitabine	CHEMBL554563
1-octanol	CHEMBL26215
RGFP966	CHEMBL4078477
neohesperidin	CHEMBL506398
beclomethasone	CHEMBL1586
indinavir	CHEMBL115
misoprostol	CHEMBL606
azosemide	CHEMBL1097235
enrofloxacin	CHEMBL15511
menadione-bisulfite	CHEMBL1159684
ursolic-acid	CHEMBL169
luliconazole	CHEMBL2105689
balapiravir	CHEMBL550936
ispinesib	CHEMBL228814
tipiracil	CHEMBL235668
ranitidine	CHEMBL1790041
CGH2466	CHEMBL1551336
alfaxalone	CHEMBL190279
aminopentamide	CHEMBL92915
cytarabine	CHEMBL803
selegiline	CHEMBL972
nifekalant	CHEMBL360861
suramin	CHEMBL265502
norcyclobenzaprine	CHEMBL1557167
AR-42	CHEMBL191482
diacerein	CHEMBL41286
obatoclax	CHEMBL408194
tacalcitol	CHEMBL2105611
bardoxolone	CHEMBL1093059
luteolin	CHEMBL151
RN-1734	CHEMBL2324347
colforsin	CHEMBL52606
pirenzepine	CHEMBL9967
naftopidil	CHEMBL142635
AZD8330	CHEMBL3182621
isoliquiritigenin	CHEMBL129795
sirolimus	CHEMBL413
hexylresorcinol	CHEMBL443605
nafamostat	CHEMBL273264
pipamperone	CHEMBL440294
dalcetrapib	CHEMBL313006
bromosporine	CHEMBL3133807
sodium-monofluorophosphate	CHEMBL1908359
FPL-55712	CHEMBL267475
indoramin	CHEMBL279516
chlormezanone	CHEMBL1200714
zaltoprofen	CHEMBL1765291
SB-221284	CHEMBL276140
cyanopindolol	CHEMBL378501
TH-302	CHEMBL260046
CGP-52411	CHEMBL268868
purvalanol-b	CHEMBL23254
MK-571	CHEMBL15177
hydrochlorothiazide	CHEMBL435
pioglitazone	CHEMBL595
metocurine	CHEMBL1259
vidarabine	CHEMBL1090
acitazanolast	CHEMBL2104654
chlorcyclizine	CHEMBL22150
cobimetinib	CHEMBL2146883
nifurtimox	CHEMBL290960
alcaftadine	CHEMBL1201747
SRPIN340	CHEMBL4064277
UK-383367	CHEMBL226630
FG-2216	CHEMBL426560
solifenacin-succinate	CHEMBL1200803
morniflumate	CHEMBL2105059
paclitaxel	CHEMBL428647
L-732,138	CHEMBL22870
SB-218078	CHEMBL304428
sulfathiazole	CHEMBL437
fendiline	CHEMBL254832
hydrastinine	CHEMBL1314044
piperine	CHEMBL43185
PD-168393	CHEMBL285063
AV-608	CHEMBL1765508
phenothiazine	CHEMBL828
flunisolide	CHEMBL1512
picrotin	CHEMBL478523
8-hydroxy-DPAT	CHEMBL56
tapentadol	CHEMBL1201776
moroxydine	CHEMBL1490434
linalool	CHEMBL25306
VX-222	CHEMBL3039503
fluoxetine	CHEMBL41
ZM-226600	CHEMBL143181
D-Phenylalanine	CHEMBL379630
acadesine	CHEMBL1551724
apatinib	CHEMBL3186534
BIIB021	CHEMBL467399
DPI-201106	CHEMBL314639
WAY-213613	CHEMBL1628669
ZD-2079	CHEMBL1354284
tiabendazole	CHEMBL625
dyclonine	CHEMBL1201217
SID-7969543	CHEMBL259067
dosulepin	CHEMBL1492500
rhein	CHEMBL418068
ibuprofen-piconol	CHEMBL2106254
wnt-c59	CHEMBL2139947
octopamine	CHEMBL53929
ioxaglic-acid	CHEMBL1201291
natamycin	CHEMBL1200656
carazolol	CHEMBL324665
fludroxycortide	CHEMBL1201012
aniracetam	CHEMBL36994
probucol	CHEMBL608
altanserin	CHEMBL62919
UB-165	CHEMBL63102
fentiazac	CHEMBL589092
doxapram	CHEMBL1754
dropropizine	CHEMBL151445
methotrexate	CHEMBL34259
iproniazid	CHEMBL92401
brompheniramine	CHEMBL811
abafungin	CHEMBL3989547
desogestrel	CHEMBL1533
SLV-320	CHEMBL592435
methyclothiazide	CHEMBL1577
isoconazole	CHEMBL1571863
LY2606368	CHEMBL3544911
FPL-64176	CHEMBL93655
clorotepine	CHEMBL64249
drofenine	CHEMBL442444
meclofenoxate	CHEMBL64545
maraviroc	CHEMBL1201187
zaprinast	CHEMBL28079
sufentanil	CHEMBL658
TAS-103	CHEMBL488755
setiptiline	CHEMBL2104895
fusidic-acid	CHEMBL374975
fluorometholone-acetate	CHEMBL1201064
phenylbutazone	CHEMBL101
myricetin	CHEMBL164
oncrasin-1	CHEMBL1775048
Ro-15-4513	CHEMBL6597
dextromethorphan	CHEMBL52440
cyclosporin-a	CHEMBL160
quinestrol	CHEMBL1201165
AZD9668	CHEMBL3617964
ezutromid	CHEMBL1773683
brinzolamide	CHEMBL220491
2-methoxyestradiol	CHEMBL299613
progesterone	CHEMBL103
clemizole	CHEMBL1407943
YM-201636	CHEMBL2178735
trigonelline	CHEMBL350675
purmorphamine	CHEMBL1221984
PD-102807	CHEMBL59898
zafirlukast	CHEMBL603
fagomine	CHEMBL108084
AMG-232	CHEMBL3125702
alaproclate	CHEMBL36591
cholic-acid	CHEMBL205596
cloxyquin	CHEMBL225164
itacitinib	CHEMBL3622820
lasalocid	CHEMBL145347
alexidine	CHEMBL1195210
fenbendazole	CHEMBL37161
ezatiostat	CHEMBL2110585
methoxyamine	CHEMBL1213633
quinolinic-acid	CHEMBL286204
nitromide	CHEMBL1437065
roflumilast	CHEMBL193240
acivicin	CHEMBL1231101
prucalopride	CHEMBL117287
BU-224	CHEMBL13698
VU0361737	CHEMBL562551
genz-644282	CHEMBL191958
acepromazine	CHEMBL39560
glutamine-(l)	CHEMBL930
beta-CCB	CHEMBL148296
beta-CCB	CHEMBL1394514
hydroxyurea	CHEMBL467
ftorafur	CHEMBL20883
sulmetozine	CHEMBL1414826
eflornithine	CHEMBL830
lomefloxacin	CHEMBL561
gaboxadol	CHEMBL312443
mazindol	CHEMBL781
niceritrol	CHEMBL1697762
kaempferol	CHEMBL150
theophylline	CHEMBL190
JX-401	CHEMBL1450144
acrivastine	CHEMBL1224
sarafloxacin	CHEMBL37858
licochalcone-a	CHEMBL139702
SKF-96365	CHEMBL1256808
xylazine	CHEMBL297362
O6-Benzylguanine	CHEMBL407874
ARC-239	CHEMBL362051
tinidazole	CHEMBL1220
famprofazone	CHEMBL1475693
gemifloxacin	CHEMBL430
trimethobenzamide	CHEMBL1201256
immepip	CHEMBL18661
GSK2330672	CHEMBL2387408
ambrisentan	CHEMBL1111
bropirimine	CHEMBL37387
bromopride	CHEMBL399510
cinalukast	CHEMBL283754
go-6983	CHEMBL261491
fludrocortisone-acetate	CHEMBL1201010
sal003	CHEMBL1340458
H-89	CHEMBL104264
aptiganel	CHEMBL92484
copper-histidine	CHEMBL4297731
MMPX	CHEMBL307639
acetazolamide	CHEMBL20
xipamide	CHEMBL517199
dazoxiben	CHEMBL267473
acemetacin	CHEMBL189171
edoxaban	CHEMBL1269025
paeonol	CHEMBL1079227
GSK2110183	CHEMBL2219422
epoprostenol	CHEMBL1139
BNTX	CHEMBL252172
moxaverine	CHEMBL2105060
phentolamine	CHEMBL597
dilazep	CHEMBL126075
resibufogenin	CHEMBL250172
lanatoside-c	CHEMBL506569
mabuterol	CHEMBL86749
deflazacort	CHEMBL1201891
fenticonazole	CHEMBL1651990
azlocillin	CHEMBL1537
tolbutamide	CHEMBL782
desloratadine	CHEMBL1172
cinepazet	CHEMBL2110784
nedaplatin	CHEMBL3137685
metixene	CHEMBL1201342
citalopram	CHEMBL549
diazooxonorleucine	CHEMBL97485
diazooxonorleucine	CHEMBL4303391
tranilast	CHEMBL415324
enoxacin	CHEMBL826
E-4031	CHEMBL327980
WP1130	CHEMBL1923233
testosterone	CHEMBL386630
mefloquine	CHEMBL416956
dydrogesterone	CHEMBL1200853
mometasone-furoate	CHEMBL1161
dichlorvos	CHEMBL167911
bicyclol	CHEMBL482035
monoctanoin	CHEMBL3304484
DPO-1	CHEMBL1088844
emedastine	CHEMBL594
oxfendazole	CHEMBL42442
PF-4708671	CHEMBL2134202
prednisolone-tebutate	CHEMBL1200909
alvocidib	CHEMBL428690
propofol	CHEMBL526
hydroxytoluic-acid	CHEMBL448399
LY344864	CHEMBL3186179
aprindine	CHEMBL1213033
exalamide	CHEMBL1405973
PQ-401	CHEMBL439259
acetarsol	CHEMBL1330792
beclomethasone-dipropionate	CHEMBL1200500
phenylbenzimidazole-sulfonic-acid	CHEMBL1987518
MG-132	CHEMBL64925
RS-17053	CHEMBL88272
EXO-1	CHEMBL250428
pefloxacin	CHEMBL267648
rucaparib	CHEMBL1173055
caprylic-acid	CHEMBL324846
AZD7545	CHEMBL1231132
diroximel-fumarate	CHEMBL3989944
SU3327	CHEMBL510038
imidafenacin	CHEMBL53366
allylthiourea	CHEMBL1451910
FR-139317	CHEMBL37860
prednisolone	CHEMBL131
estradiol-valerate	CHEMBL1511
pazopanib	CHEMBL477772
tasquinimod	CHEMBL2107784
10-hydroxycamptothecin	CHEMBL273862
FK-866	CHEMBL566757
tacrine	CHEMBL95
mibampator	CHEMBL1277001
ambroxol	CHEMBL153479
ML-9	CHEMBL1257075
CC-930	CHEMBL1950289
sulfadoxine	CHEMBL1539
pidolic-acid	CHEMBL397976
pidolic-acid	CHEMBL284718
ziprasidone	CHEMBL708
CYT-997	CHEMBL552212
etizolam	CHEMBL1289779
moguisteine	CHEMBL146980
LY294002	CHEMBL98350
SCH-900776	CHEMBL2386889
2-hydroxysaclofen	CHEMBL1256573
RSV604	CHEMBL223402
pasireotide	CHEMBL3039583
huperzine-a	CHEMBL1255901
cleviprex	CHEMBL1237132
cimetropium	CHEMBL2110773
fluphenazine	CHEMBL726
chlorpromazine	CHEMBL71
aceclidine	CHEMBL20835
WIN-64338	CHEMBL551291
scopine	CHEMBL4303435
scopine	CHEMBL4303536
NKP-1339	CHEMBL4297410
BYK-204165	CHEMBL4303397
tripelennamine	CHEMBL1241
dextroamphetamine	CHEMBL612
propacetamol	CHEMBL1851805
amyleine	CHEMBL1740065
CGS-21680	CHEMBL331372
ascorbic-acid	CHEMBL196
lixivaptan	CHEMBL49429
GSK2636771	CHEMBL3188551
uric-acid	CHEMBL792
isometheptene-mucate	CHEMBL2355839
zofenopril-calcium	CHEMBL2105776
SNX-5422	CHEMBL1195136
valrubicin	CHEMBL1096885
PP-121	CHEMBL1081312
SANT-2	CHEMBL514344
ipidacrine	CHEMBL130880
metitepine	CHEMBL93240
anacetrapib	CHEMBL1800807
cimaterol	CHEMBL1374751
spermine	CHEMBL23194
trapidil	CHEMBL132767
TU-2100	CHEMBL4303553
aceglutamide	CHEMBL1234757
betamethasone-dipropionate	CHEMBL1200384
ADD-233089	CHEMBL204240
carbazochrome	CHEMBL2051960
GDC-0834	CHEMBL2057915
clozapine	CHEMBL42
toltrazuril	CHEMBL2104931
bruceantin	CHEMBL509895
betamipron	CHEMBL1231530
difloxacin	CHEMBL6259
faropenem-medoxomil	CHEMBL1257070
carboxypyridine-disulfide	CHEMBL1161936
SCH-28080	CHEMBL1257099
IPAG	CHEMBL1484738
G-1	CHEMBL1222307
G-1	CHEMBL569766
G-1	CHEMBL1434839
PLX-4720	CHEMBL1230020
ibuproxam	CHEMBL292707
barasertib-HQPA	CHEMBL215152
amitifadine	CHEMBL592374
stattic	CHEMBL1337170
ML167	CHEMBL1604618
trometamol	CHEMBL1200391
tolimidone	CHEMBL8030
O-1918	CHEMBL4303507
nomegestrol-acetate	CHEMBL1476022
GR125487	CHEMBL471233
MK-8245	CHEMBL1938870
cipemastat	CHEMBL115653
triclabendazole	CHEMBL1086440
AZ191	CHEMBL3421968
dacarbazine	CHEMBL476
ACDPP	CHEMBL1616372
atglistatin	CHEMBL3823931
cyclamic-acid	CHEMBL1206440
morinidazole	CHEMBL3884248
sumanirole	CHEMBL419792
SCP-1	CHEMBL239901
KU-60019	CHEMBL2140173
ephedrine	CHEMBL211456
PHCCC	CHEMBL164770
LY225910	CHEMBL37312
tenovin-6	CHEMBL595354
peretinoin	CHEMBL4303228
BL-5583	CHEMBL312607
prilocaine	CHEMBL1194
vincamine	CHEMBL1165342
BIBX-1382	CHEMBL258940
BMS-265246	CHEMBL310840
amygdalin	CHEMBL461727
RI-1	CHEMBL1271993
gabapentin-enacarbil	CHEMBL1628502
pentagastrin	CHEMBL1328
rigosertib	CHEMBL1241855
S-methylcysteine	CHEMBL394875
ranolazine	CHEMBL1404
IRL-2500	CHEMBL72410
camptothecin	CHEMBL65
carprofen	CHEMBL1316
zalcitabine	CHEMBL853
nolatrexed	CHEMBL320775
glutathione-monoisopropyl-ester	CHEMBL4303348
tolonidine	CHEMBL304253
pyridoxine	CHEMBL1364
trazodone	CHEMBL621
oxiconazole	CHEMBL1262
SIB-1757	CHEMBL88553
dolasetron	CHEMBL2368925
prasterone-acetate	CHEMBL3039094
prasterone-acetate	CHEMBL1480686
esomeprazole	CHEMBL1201320
nemonapride	CHEMBL20734
AVL-292	CHEMBL3301625
LY2784544	CHEMBL2107823
GSK3787	CHEMBL598608
NSC-663284	CHEMBL337173
temocapril	CHEMBL2110627
zomepirac	CHEMBL19490
PNU-22394	CHEMBL6557
albendazole	CHEMBL1483
warfarin	CHEMBL1464
CFTRinh-172	CHEMBL1554655
CFTRinh-172	CHEMBL461939
benzoylpas	CHEMBL1487804
NU6027	CHEMBL303958
azacitidine	CHEMBL1489
mCPP	CHEMBL478
L-168049	CHEMBL351772
HQK-1001	CHEMBL1650317
dipraglurant	CHEMBL2346738
deoxycorticosterone-acetate	CHEMBL1200542
cinaciguat	CHEMBL1236936
fenofibrate	CHEMBL672
perflubron	CHEMBL1200866
droloxifene	CHEMBL487
acebutolol	CHEMBL642
oxotremorine-m	CHEMBL44674
tylosin	CHEMBL42743
ramelteon	CHEMBL1218
UBP-302	CHEMBL372797
rociletinib	CHEMBL3545308
KD025	CHEMBL4594302
nicorandil	CHEMBL284906
digitoxin	CHEMBL254219
tiaprofenic-acid	CHEMBL365795
GW-4064	CHEMBL318457
ZM-241385	CHEMBL113142
palmitoylcarnitine	CHEMBL3392050
palmitoylcarnitine	CHEMBL301722
palmitoylcarnitine	CHEMBL2216787
linopirdine	CHEMBL319111
pumosetrag	CHEMBL1643880
SB-200646	CHEMBL85194
creatinol-phosphate	CHEMBL2104114
tyrphostin-AG-494	CHEMBL1255754
D-64131	CHEMBL140220
CNX-2006	CHEMBL3985592
XL-147	CHEMBL3360203
XL-147	CHEMBL3218575
BMY-7378	CHEMBL13647
L-proline	CHEMBL54922
nemorubicin	CHEMBL1232279
ataluren	CHEMBL256997
losmapimod	CHEMBL1088752
medrysone	CHEMBL1201173
tolnaftate	CHEMBL83668
ioversol	CHEMBL1200614
eperezolid	CHEMBL47955
mepazine	CHEMBL395110
CTS-1027	CHEMBL440498
linifanib	CHEMBL223360
ampicillin	CHEMBL174
nimorazole	CHEMBL435966
doxifluridine	CHEMBL1130
L-733060	CHEMBL27006
pregnenolone	CHEMBL253363
danusertib	CHEMBL402548
palonosetron	CHEMBL1189679
GSK2830371	CHEMBL3613749
cortisone-acetate	CHEMBL1650
LY2801653	CHEMBL3545307
xylose	CHEMBL502135
potassium-p-aminobenzoate	CHEMBL1569493
MLN0128	CHEMBL3545097
broxaldine	CHEMBL2104247
endo-IWR-1	CHEMBL562310
sarpogrelate	CHEMBL52939
niacin	CHEMBL573
AR-12	CHEMBL1650595
zanamivir	CHEMBL222813
AT13387	CHEMBL1214827
aminoguanidine	CHEMBL225304
N-methylquipazine	CHEMBL288591
zolpidem	CHEMBL911
aloperine	CHEMBL3329704
XE-991	CHEMBL342375
ABT-639	CHEMBL3590674
R-428	CHEMBL3809489
rasagiline	CHEMBL887
beta-funaltrexamine	CHEMBL473136
hypoxanthine	CHEMBL1427
I-BZA	CHEMBL13564
acetyl-l-leucine	CHEMBL56021
clofibric-acid	CHEMBL683
brivanib	CHEMBL377300
methyllycaconitine	CHEMBL510275
CEP-32496	CHEMBL2029988
mezlocillin	CHEMBL1731
ambazone	CHEMBL2103762
OTX015	CHEMBL3581647
AZD7687	CHEMBL4297354
nebracetam	CHEMBL2104682
chloroprocaine	CHEMBL1179047
clopidol	CHEMBL446918
thonzonium	CHEMBL1201322
ecabapide	CHEMBL2104348
ketotifen	CHEMBL534
epothilone-b	CHEMBL94657
phytosphingosine	CHEMBL236036
pantethine	CHEMBL2104786
